,dayofweek,minofday,requests,wait_time,reject,idle_trip,resource,dispatch,reward,effective_dist,actual_dist,agent_time,original_requests
0,6.0,323.0,74.0,134.73543984133295,6.0,0.0,7825.0,0.0,0.5815875156008921,1103.479410181228,958.5712319861966,0.18195533752441406,33.0
1,6.0,324.0,51.0,61.21457598566517,11.0,0.0,7800.0,0.0,0.09014617419682402,164.6207174522956,161.45032291451093,0.17911648750305176,26.0
2,6.0,325.0,54.0,88.47084812610886,6.0,2.0,7776.0,2.0,0.12013260293296713,245.34962462047974,228.98970882189246,0.19798851013183594,19.0
3,6.0,326.0,73.0,86.03557766450103,7.0,5.0,7752.0,4.0,0.1451190418200332,405.4512337423896,326.54160730952276,0.2039804458618164,21.0
4,6.0,327.0,55.0,119.51289354904914,4.0,8.0,7729.0,4.0,0.13969426358999448,280.1319060064666,276.6183575397213,0.19667530059814453,21.0
5,6.0,328.0,72.0,128.55497265397503,9.0,12.0,7701.0,5.0,0.1518458457034586,406.32172592597453,302.43456489028404,0.20388150215148926,26.0
6,6.0,329.0,48.0,129.04575032298746,5.0,13.0,7684.0,3.0,0.10152973081514638,160.8322111757161,152.74656062486156,0.20922303199768066,23.0
7,6.0,330.0,57.0,78.07146024843209,5.0,18.0,7681.0,8.0,0.12304917546970229,287.1284397263048,241.58695066666996,0.21554064750671387,24.0
8,6.0,331.0,65.0,133.5398293862669,6.0,33.0,7661.0,16.0,0.12936844857970242,263.38867746823144,195.0071080086982,0.22341704368591309,33.0
9,6.0,332.0,63.0,114.91385374295649,10.0,36.0,7640.0,9.0,0.11430092949980208,219.58091671163402,186.4163718776599,0.21741294860839844,29.0
10,6.0,333.0,63.0,138.92966619141117,12.0,39.0,7624.0,6.0,0.11179533915553663,173.57241872158102,180.98713350268554,0.2127687931060791,30.0
11,6.0,334.0,68.0,88.04803014365696,7.0,46.0,7609.0,14.0,0.13046150782257548,242.62254851662237,233.82703354665773,0.23255467414855957,36.0
12,6.0,335.0,67.0,121.61986529966616,9.0,7477.824960515395,7580.0,7437.0,-0.805681124860796,252.3101662293816,187.59055647028663,7.643761873245239,35.0
13,6.0,336.0,64.0,107.52988387806819,10.0,7448.824960515394,7558.0,7.0,-0.8119460037957886,234.1074054111623,199.35865406272615,0.2188105583190918,25.0
14,6.0,337.0,78.0,197.58883919581658,10.0,7425.167432328943,7524.0,5.0,-0.7447297678813186,306.2520896011865,330.3420238497947,0.20746994018554688,33.0
15,6.0,338.0,61.0,81.98878527722214,11.0,7390.177175213239,7516.0,5.0,-0.7817163318080997,254.9947088664867,249.25132364933143,0.1967601776123047,26.0
16,6.0,339.0,70.0,109.53403743027596,8.0,7326.640803514497,7502.0,14.0,-0.7784444901686092,250.7010476627711,214.33268960757414,0.22649526596069336,35.0
17,6.0,340.0,78.0,102.16271639857632,8.0,6974.180217416243,7485.0,15.0,-0.7024979084178691,360.54373629109614,354.3631556302289,0.2238783836364746,36.0
18,6.0,341.0,62.0,69.15230600600223,4.0,6694.598108613078,7486.0,11.0,-0.6978051540975696,274.8172580037808,267.4745852297001,0.2226862907409668,28.0
19,6.0,342.0,70.0,87.12659839456477,6.0,6595.1643754593,7477.0,25.0,-0.668159841910398,311.72374683244107,300.70937124137345,0.24929261207580566,27.0
20,6.0,343.0,56.0,55.841635981457266,5.0,6192.661876817786,7495.0,17.0,-0.6502305677372959,306.6143015424068,289.4662138787171,0.2304973602294922,18.0
21,6.0,344.0,72.0,118.22996185765764,8.0,5616.902686729293,7476.0,36.0,-0.5361943180165385,284.5282294425342,237.96523312800673,0.2614157199859619,33.0
22,6.0,345.0,66.0,115.64516225444528,6.0,4856.534264575056,7461.0,24.0,-0.47490383196618424,247.962657430915,204.43387290059763,0.23025250434875488,28.0
23,6.0,346.0,55.0,88.4882738101231,4.0,4797.642957640718,7460.0,16.0,-0.4716491246457384,244.61285464150478,224.8822026904836,0.22294211387634277,25.0
24,6.0,347.0,66.0,62.63951725954487,12.0,4610.0682277305095,7459.0,27.0,-0.45491398188629084,200.8901396923693,176.38131832516683,0.25174760818481445,29.0
25,6.0,348.0,64.0,69.1926795962019,2.0,4257.299803794392,7442.0,18.0,-0.38892840576326293,291.07297737956833,215.7522292183021,0.2332911491394043,27.0
26,6.0,349.0,60.0,73.83872333100678,6.0,4219.0700354673445,7438.0,16.0,-0.3932261923554128,264.17191235254177,217.5078452638936,0.2172849178314209,28.0
27,6.0,350.0,61.0,69.46770224249792,11.0,7279.6662993479695,7443.0,7148.0,-0.7914484684318355,279.1663932450556,211.30956195942144,7.3049726486206055,21.0
28,6.0,351.0,67.0,118.89569369383838,6.0,7282.824960515394,7436.0,23.0,-0.7711881112113161,242.8339315993435,227.40997652350597,0.2595229148864746,36.0
29,6.0,352.0,57.0,46.22925233842905,6.0,7270.339275163764,7435.0,23.0,-0.7874665307304429,221.89444851712688,187.1492764376153,0.24641203880310059,25.0
30,6.0,353.0,60.0,87.22793786611646,5.0,7264.4528592831875,7430.0,26.0,-0.7645292748009123,322.3965414528302,275.26658607470654,0.23674416542053223,18.0
31,6.0,354.0,51.0,51.921866328132836,3.0,7204.333783514662,7438.0,24.0,-0.7720288664510448,256.87229702248806,244.4717586899351,0.23576927185058594,19.0
32,6.0,355.0,60.0,58.96676344671232,6.0,6879.969787298462,7429.0,33.0,-0.696423670473294,277.37287478383223,257.3461176281289,0.25094008445739746,27.0
33,6.0,356.0,60.0,53.875765133860966,6.0,6605.065013301227,7425.0,23.0,-0.709335268962473,196.54169401498075,188.17962381989855,0.23302412033081055,34.0
34,6.0,357.0,68.0,57.83101152593222,4.0,6498.09316093924,7412.0,32.0,-0.6638409033975066,281.03511206409166,244.492265860692,0.24588608741760254,35.0
35,6.0,358.0,51.0,29.189259435880974,4.0,6100.096715968185,7419.0,23.0,-0.6411693247414192,245.26478770520043,188.88031678153857,0.23468804359436035,24.0
36,6.0,359.0,74.0,62.349984268952824,6.0,5551.055649695168,7419.0,43.0,-0.5301006702472417,323.8477909437497,279.569007159791,0.27274012565612793,35.0
37,6.0,360.0,68.0,72.21639493273037,5.0,4840.069971542576,7415.0,45.0,-0.4540820892506954,342.1377108964134,278.92904371375516,0.2734708786010742,32.0
38,6.0,361.0,58.0,38.85815467184637,0.0,4786.876852933834,7427.0,32.0,-0.45256710192386684,393.4394035478599,320.8466041113861,0.25689005851745605,21.0
39,6.0,362.0,74.0,87.44416317234811,3.0,4613.68467918122,7400.0,53.0,-0.4032700229117747,289.02365389422084,247.45037992220023,0.27023744583129883,44.0
40,6.0,363.0,55.0,46.956879175882776,1.0,4239.234816585264,7405.0,21.0,-0.3993042981112165,296.59957034627587,226.60116365072827,0.23289227485656738,24.0
41,6.0,364.0,58.0,64.97104499358963,3.0,4220.080190578308,7402.0,38.0,-0.392241643550463,292.1157705150654,247.69977374227528,0.26288342475891113,27.0
42,6.0,365.0,52.0,53.57250281809447,6.0,7221.6688191203975,7400.0,6984.0,-0.7785729543975926,182.81933313768786,185.1912648315265,7.2001893520355225,29.0
43,6.0,366.0,67.0,101.96816601172074,1.0,7217.475174477792,7394.0,37.0,-0.7114229044839142,381.10564912254813,354.83420817829574,0.2534675598144531,30.0
44,6.0,367.0,59.0,52.257678001067816,3.0,7211.008440182072,7388.0,35.0,-0.7635070490362459,303.1975330589139,240.4562145237869,0.2548408508300781,26.0
45,6.0,368.0,72.0,63.169729548023774,2.0,7207.024396708549,7377.0,32.0,-0.729414785266254,346.2434264749518,288.144883590885,0.24536681175231934,37.0
46,6.0,369.0,59.0,31.815722991809825,2.0,7144.383922017709,7386.0,39.0,-0.7330141894959183,387.6768598775743,266.66064479570196,0.2512030601501465,24.0
47,6.0,370.0,68.0,32.1301275986593,1.0,6839.629423503903,7387.0,45.0,-0.6786865276322089,405.5421244319823,343.94170038340053,0.2545309066772461,28.0
48,6.0,371.0,56.0,75.22706616888313,2.0,6589.273355287304,7387.0,35.0,-0.6934447088429216,319.4259564442964,240.2564598066674,0.24582386016845703,23.0
49,6.0,372.0,54.0,47.85279568678297,0.0,6483.95966108484,7378.0,38.0,-0.669202675484037,299.812424513284,240.85384434298976,0.2611863613128662,29.0
50,6.0,373.0,44.0,54.044882530392826,0.0,6096.772186969292,7388.0,25.0,-0.6559999521059616,242.40503124715178,184.2979242608817,0.24239492416381836,22.0
51,6.0,374.0,54.0,49.49156428519869,1.0,5554.86551890861,7391.0,52.0,-0.5607249432698822,318.05285120532426,238.54237376136007,0.26891088485717773,25.0
52,6.0,375.0,54.0,29.661682948066694,0.0,4851.45285245619,7397.0,41.0,-0.44928523149171795,318.5488844924912,279.78377877462117,0.25207090377807617,22.0
53,6.0,376.0,71.0,54.62808850065811,0.0,4810.274611035068,7392.0,43.0,-0.43932824289768746,324.83330993299205,279.6331956094127,0.25409984588623047,38.0
54,6.0,377.0,52.0,55.25229182230522,0.0,4649.326667419434,7394.0,57.0,-0.4493685454444645,276.81625716588496,230.70575347166778,0.2833254337310791,26.0
55,6.0,378.0,60.0,73.33563180791838,0.0,4312.553173832275,7390.0,39.0,-0.39373110309246684,289.5321078937304,288.1408120733249,0.2540314197540283,31.0
56,6.0,379.0,53.0,34.40805748000297,0.0,4286.600807727049,7392.0,46.0,-0.38902460036170794,341.5386033156137,261.63257499091196,0.2621948719024658,26.0
57,6.0,380.0,61.0,59.326903418820756,0.0,7191.953480693368,7382.0,6834.0,-0.7581473810290902,296.05576189436397,240.05766559453332,7.023257255554199,35.0
58,6.0,381.0,43.0,58.549637779733175,0.0,7175.517731179293,7391.0,34.0,-0.775519426328291,225.56137960668275,193.94288628934555,0.27109527587890625,23.0
59,6.0,382.0,62.0,77.63094454996397,0.0,7183.9384775897115,7375.0,49.0,-0.7564065423656565,327.5254233328669,237.66639683294306,0.27735137939453125,28.0
60,6.0,383.0,63.0,96.852292859345,0.0,7168.469318093619,7362.0,35.0,-0.7414771905380064,269.88115623279737,248.6880755257589,0.2584528923034668,31.0
61,6.0,384.0,65.0,93.54507400658485,0.0,7152.2122537398445,7352.0,38.0,-0.740706130051489,270.29646279909866,254.43457948693685,0.2557373046875,39.0
62,6.0,385.0,58.0,91.46834900406324,0.0,7139.132253215039,7348.0,55.0,-0.7526508278345574,270.7105491183138,239.3613655136014,0.27999281883239746,25.0
63,6.0,386.0,60.0,69.19830919395162,1.0,7130.0837002328935,7347.0,41.0,-0.7301432498312579,336.25491044911905,316.0340058840902,0.2610602378845215,27.0
